nombre,precioEspecial,codigo_principal,vendible,stock,id_producto
Gabinete Lian Li Lancool 215X Black 2x200mm ARGB 800 RPM fans + 1x120mm 1000RPM,26990.0,UPC: 840353040403,1,20,11671
Gabinete Lian Li Lancool 205 Black 2x120mm,22730.0,UPC: 840353009677,1,20,11669
Gabinete Lian Li O11 Dynamic XL ROG Certify White ARGB,76700.0,UPC: 840353009721,1,16,11663
Gabinete Lian Li O11 Dynamic XL ROG Certify Black ARGB,74430.0,UPC: 840353009837,1,18,11662
Mouse XPG PRIMER RGB 12000DPI,5770.0,SKU: PRIMER-BKCWW,1,20,11654
Teclado Mecanico XPG Summoner 5B Cherry Mx Blue SP 3 dias de uso en AGS,16300.0,SKU: SUMMONER5B-BKCES,1,6,11646
Auriculares Inalambricos Logitech G733 Lightspeed RGB Lila*,27060.0,SKU: 981-000889,1,20,11633
Auriculares Inalambricos Logitech G733 Lightspeed RGB Blue*,28800.0,SKU: 981-000942,1,20,11632
Mother ASUS ROG STRIX B550-XE Gaming Wifi AM4,82350.0,P/N: 90MB17B0-M0AAY0,1,20,11630
WebCam Logitech HD C505 USB 720P Mic,7540.0,SKU: 960-001363,1,20,11629
Mother Asrock A520M-HDV AM4,16500.0,SKU: 90-MXBE50-A0UAYZ,1,20,11626
Mother ASUS ROG X570 CROSSHAIR VIII AM4 DARK HERO,125750.0,SKU: ROG CROSSHAIR VIII DARK HERO,1,1,11616
Auriculares HyperX Cloud Flight Black Wireless*,22000.0,SKU: HX-HSCF-BK/AM.,1,20,11613
Mouse Redragon Centrophorus M601 RGB,2399.0,EAN: 6950376779427,1,20,11607
Auriculares Inalambricos Logitech G733 Lightspeed RGB Black.,29740.0,SKU: 981-000863,1,20,11596
Microfono Logitech Blue Yeti X Profesional USB,39280.0,SKU: 988-000105,1,9,11593
Auriculares Astro Logitech A10 Call Of Duty Black-Red PS4 | XBOX |,9100.0,SKU: 939-001932,1,6,11591
Disco Solido SSD M.2 WD 2TB Black SN850 7000MB/s NVMe PCIe Gen42,58820.0,SKU: WDS200T1X0E,1,2,11586
Placa de Video Asrock Radeon RX 6800 16GB GDDR6 Phantom Gaming D OC,152000.0,P/N: 90-GA2AZZ-00UANF,1,16,11578
Gabinete Kolink Observatory Lite Black 4x120mm ARGB Vidrio Templado,14850.0,EAN: 5999094003484,0,0,11575
Gabinete Kolink Void X Dual Infinity Mirror ARGB,17900.0,UPC: 843816101406,1,20,11574
Teclado Redragon Shiva K512RGB Español,5000.0,SKU: K512RBG-SP,1,20,11573
Memoria Team DDR4 16GB 3200MHz Elite Plus Red,17100.0,SKU: TPRD416G3200HC2201,1,5,11555
Microfono HyperX SoloCast PC PS4,12770.0,SKU: 4P5P8AA,1,20,11550
Auriculares Redragon Pandora 2 H350 RGB USB 3.5mm,6510.0,SKU: H350-RGB-1,1,20,11546
Auriculares Redragon Pandora H350 RGB USB Surround 7.1,6680.0,SKU: H350-RGB,1,20,11545
Placa de Video MSI GeForce RTX 3090 24GB GDDR6X GAMING X TRIO,295000.0,SKU: 912-V388-011,1,19,11539
Funda Celular Samsung Flip Wallet A3 2016 Black,100.0,SKU: EF-WA310PBEG,1,20,11532
Funda Celular Samsung Flip Wallet A5 2016 Black,100.0,SKU: EF-WA510PBEG,1,20,11531
Mother ASUS PRO A320M-R WI-FI/CSM AM4 OEM,14900.0,P/N: 90MB10I0-M0ABY1,1,20,11496
Fuente ASUS ROG STRIX 1000W 80 Plus Gold Full Modular 1000G,46040.0,SKU: ROG-STRIX-1000G,1,20,11491
Fuente ASUS ROG STRIX 850W 80 Plus Gold Full Modular White 850G,43520.0,SKU: ROG-STRIX-850G-WHITE,1,20,11490
Fuente ASUS ROG STRIX 850W 80 Plus Gold Full Modular 850G,42520.0,SKU: ROG-STRIX-850G,1,20,11489
Fuente ASUS ROG STRIX 550W 80 Plus Gold Full Modular 550G,26740.0,SKU: ROG-STRIX-550G,1,20,11487
"Monitor Gamer Curvo Viewsonic 27"" VX2768 2K 144Hz 1ms HDMI DP",108950.0,SKU: VX2768-2KPC-MHD,1,20,11386
Fuente Be Quiet! 700W 80 Plus Bronze U9,16490.0,EAN: 4260052188484,1,20,11379
